emmi_cd,active,emmi_nm,emmi_nm_mxd,emmi_flnm,overlay_flnm,emmi_brnd_cd,last_trckd_sctn,shell,available,tpc_id,emmi_tp_cd,emmi_src_cd,last_chng_dt,create_dt
71,true,"LUMPECTOMY FOR MALIGNANCY","Lumpectomy for Malignancy",lumpectomy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-04-21 17:33:04.333"
72,true,"UPPER GI ENDOSCOPY","Upper GI Endoscopy",upper_gi,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-05-09 10:57:09.000"
73,true,"ENDOSCOPIC SINUS SURGERY","Endoscopic Sinus Surgery",endo_sinus,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-05-10 17:58:36.847"
74,true,"VAGINAL BIRTH AFTER C-SECTION (VBAC)","Vaginal Birth After C-section (VBAC)",vbac,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-05-18 12:20:46.363"
75,false,"HEART VALVE SURGERY (RETIRED)","Heart Valve Surgery (Retired)",heart_valve,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-06-07 17:49:57.783"
76,true,"ANESTHESIA (ADULT)","Anesthesia (Adult)",adult_anesth,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.520","2005-07-06 11:12:51.237"
77,true,"CARDIAC PACEMAKER","Cardiac Pacemaker",pacemaker,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.523","2005-07-13 16:21:02.670"
78,true,VASECTOMY,Vasectomy,vasectomy,NULL,6,6,false,true,NULL,1,1,"2014-04-17 16:44:22.523","2005-07-20 09:54:47.810"
79,true,"URETHRAL SLING","Urethral Sling",urethral_sling,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.523","2005-08-12 16:23:50.683"
80,true,"PAIN RELIEF FOR CHILDBIRTH","Pain Relief for Childbirth",ob_anesth,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.523","2005-08-17 17:24:21.947"
81,false,"ICD (IMPLANTABLE CARDIOVERTER DEFIBRILLATOR)","ICD (Implantable Cardioverter Defibrillator)",defib,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.523","2005-08-19 14:45:08.553"
82,false,"HPV TEST (DOCTOR)","HPV Test (Doctor)",digene_doctor,NULL,6,8,false,true,NULL,1,1,"2014-05-07 15:33:34.810","2005-09-07 14:10:19.297"
83,true,"DIABETES, TYPE 2","Diabetes, Type 2",diabetes,NULL,4,8,false,true,NULL,1,1,"2014-04-17 16:44:22.523","2005-09-16 17:59:52.387"
84,true,"RADICAL PROSTATECTOMY","Radical Prostatectomy",prostatectomy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.523","2005-09-28 10:26:08.120"
85,true,ASTHMA,Asthma,asthma,NULL,4,8,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2005-10-05 16:32:26.070"
86,true,HYPERTENSION,Hypertension,hypertension,NULL,4,7,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2005-10-21 17:16:47.390"
87,true,"CORONARY ARTERY DISEASE","Coronary Artery Disease",cad,NULL,4,6,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2005-11-01 10:38:44.700"
88,true,"HYSTEROSCOPY (DIAGNOSTIC) WITH POSSIBLE D AND C","Hysteroscopy (Diagnostic) with Possible D and C",hysteroscopy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2005-11-04 12:50:10.137"
89,true,MASTECTOMY,Mastectomy,mastectomy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2005-11-08 14:25:23.960"
90,true,BRONCHOSCOPY,Bronchoscopy,bronchoscopy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2005-12-01 17:34:48.510"
91,true,"BUNIONECTOMY WITH POSSIBLE OSTEOTOMY","Bunionectomy with Possible Osteotomy",bunionectomy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2006-01-06 12:06:15.233"
92,true,THYROIDECTOMY,Thyroidectomy,thyroidectomy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.527","2006-01-06 12:06:38.500"
93,true,"LAP-BAND - ADJUSTMENTS","LAP-BAND - Adjustments",lapadjust,NULL,3,4,false,true,NULL,1,1,"2014-04-17 16:44:22.530","2006-01-17 12:12:47.310"
94,true,"LAP-BAND - FIRST 4 TO 6 WEEKS POST-OP","LAP-BAND - First 4 to 6 Weeks Post-op",bandlife,NULL,3,4,false,true,NULL,1,1,"2015-03-11 15:59:57.227","2006-02-08 16:45:57.910"
95,true,"ANESTHESIA (PEDIATRIC)","Anesthesia (Pediatric)",pedianesth,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.530","2006-02-17 16:37:28.450"
96,true,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE","Chronic Obstructive Pulmonary Disease",copd,NULL,4,8,false,true,NULL,1,1,"2015-01-30 14:04:35.790","2006-02-28 10:23:18.103"
97,true,"LAP-BAND - 6 MONTHS POST-OP","LAP-BAND - 6 Months Post-op",bandpart3,NULL,3,3,false,true,NULL,1,1,"2014-04-17 16:44:22.530","2006-03-21 17:52:19.013"
98,true,"PEDIATRIC CARDIAC CATHETERIZATION (FOR ASD OR PDA)","Pediatric Cardiac Catheterization (for ASD or PDA)",pedcardcath,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.530","2006-03-28 10:51:31.660"
100,true,"HEART FAILURE","Heart Failure",heartfailure,NULL,4,8,false,true,NULL,1,1,"2014-04-17 16:44:22.530","2006-03-29 11:25:30.103"
101,true,PARATHYROIDECTOMY,Parathyroidectomy,parathyroid,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-04-03 14:13:55.810"
102,true,"SPINAL FUSION FOR ADOLESCENT IDIOPATHIC SCOLIOSIS","Spinal Fusion for Adolescent Idiopathic Scoliosis",spinefusion,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-04-10 17:33:20.780"
103,true,"BREAST REDUCTION","Breast Reduction",breast_reduction,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-04-27 13:58:09.703"
104,true,"PEDIATRIC CARDIAC CATHETERIZATION (STENOSIS)","Pediatric Cardiac Catheterization (Stenosis)",pedcath_stenosis,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-05-30 12:06:12.740"
105,true,"BARIATRIC INFORMED DECISION MAKING","Bariatric Informed Decision Making",bariatricidm,NULL,7,7,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-06-02 11:16:55.620"
106,true,"BREAST AUGMENTATION WITH SILICONE GEL-FILLED IMPLANTS","Breast Augmentation with Silicone Gel-filled Implants",silicone,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-06-06 17:05:55.360"
107,true,"PEDIATRIC COLONOSCOPY","Pediatric Colonoscopy",ped_colonoscopy,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-07-06 10:26:04.597"
108,true,"PEDIATRIC CARDIAC CATHETER ABLATION","Pediatric Cardiac Catheter Ablation",pedcath_ablation,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.540","2006-07-10 15:46:46.913"
109,true,"PEDIATRIC INGUINAL HERNIA OR HYDROCELE REPAIR (MALE)","Pediatric Inguinal Hernia or Hydrocele Repair (Male)",pedhernia,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.543","2006-07-14 16:18:30.510"
110,true,ORCHIOPEXY,Orchiopexy,orchiopexy,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.543","2007-02-20 15:56:26.393"
111,true,"ACUTE LOW BACK PAIN","Acute Low Back Pain",backpain,NULL,4,6,false,true,NULL,1,1,"2014-04-17 16:44:22.543","2007-02-20 15:56:26.393"
112,true,"HYPOSPADIAS REPAIR","Hypospadias Repair",hypospadias,NULL,5,7,false,true,NULL,1,1,"2014-04-17 16:44:22.543","2007-02-20 15:56:26.393"
113,true,"PEDIATRIC UPPER GI ENDOSCOPY","Pediatric Upper GI Endoscopy",ped_upper_GI,NULL,5,7,false,true,NULL,1,1,"2014-04-17 16:44:22.543","2007-02-20 15:56:26.393"
114,false,BUNIONECTOMY,Bunionectomy,bunionectomy_pica,NULL,6,8,false,true,NULL,1,1,"2014-05-07 15:33:34.810","2007-02-20 15:56:26.393"
115,true,"WAVEFRONT LASIK","Wavefront LASIK",wavefrontlasik,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.543","2006-12-06 14:35:33.537"
116,true,DEPRESSION,Depression,depression,NULL,4,7,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-03-06 12:36:42.767"
117,true,"BREAST RECONSTRUCTION OPTIONS","Breast Reconstruction Options",breast_recon,NULL,7,8,false,true,NULL,1,1,"2014-06-25 10:53:42.117","2007-05-02 17:24:46.903"
118,true,"ABDOMINAL MYOMECTOMY","Abdominal Myomectomy",myomectomy,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-04-04 16:48:27.170"
119,true,"DUODENAL SWITCH","Duodenal Switch",duodenal_switch,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-05-09 17:49:01.140"
120,true,LEEP,LEEP,leep,NULL,6,7,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-04-24 10:08:37.217"
121,true,"INCISIONAL HERNIA","Incisional Hernia",inc_hernia,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-04-27 17:27:59.297"
122,true,ABDOMINOPLASTY,Abdominoplasty,abdominoplasty,NULL,6,8,false,true,NULL,1,1,"2014-06-17 10:35:38.887","2007-05-21 10:38:48.297"
123,true,"SUBCLAVIAN VENOUS ACCESS PORT","Subclavian Venous Access Port",svap,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-05-11 17:11:44.530"
124,true,ERCP,ERCP,ercp,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-06-12 16:37:13.090"
125,true,"TRANSURETHRAL RESECTION OR ABLATION OF THE PROSTATE","Transurethral Resection or Ablation of the Prostate",turp,NULL,6,7,false,true,NULL,1,1,"2014-04-17 16:44:22.547","2007-06-21 18:22:37.103"
126,false,"EMMIMANAGER (TM) TRAINING","EmmiManager (TM) Training",emmionboard,NULL,1,7,false,true,NULL,1,1,"2014-05-07 15:33:34.810","2007-05-21 10:40:05.060"
128,true,"TLC LASER VISION CORRECTION","TLC Laser Vision Correction",tlc_laservisioncorrection,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-08-22 10:15:33.210"
129,true,"JUGULAR ACCESS PORT","Jugular Access Port",jvap,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-09-28 00:00:00.000"
130,true,"GASTRIC BYPASS - LAPAROSCOPIC","Gastric Bypass - Laparoscopic",gastric_bypass_lap,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-08-28 17:04:11.243"
131,true,"PEDIATRIC HERNIA REPAIR FOR GIRLS","Pediatric Hernia Repair for Girls",pedherniagirls,NULL,5,8,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-09-07 10:29:28.000"
132,true,"AORTIC VALVE REPLACEMENT","Aortic Valve Replacement",aortic_valve,NULL,6,9,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-09-13 17:43:04.000"
133,true,"COPING WITH A HEALTH CONDITION","Coping with a Health Condition",chronic_sad,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-09-18 11:31:18.000"
134,true,"ASTHMA ACTION PLANS","Asthma Action Plans",asthma_plan,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-09-18 11:31:44.000"
135,true,"ASTHMA - COLD AND FLU SEASON","Asthma - Cold and Flu Season",asthma_colds,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.550","2007-09-18 11:32:24.353"
137,true,"ASTHMA AND EXERCISE","Asthma and Exercise",asthma_exercise,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.553","2007-09-28 00:00:00.000"
138,true,"ASTHMA PEAK FLOW METER","Asthma Peak Flow Meter",asthma_peakflow,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.553","2007-09-28 00:00:00.000"
139,true,"MITRAL VALVE REPAIR OR REPLACEMENT","Mitral Valve Repair or Replacement",mitral_valve,NULL,6,9,false,true,NULL,1,1,"2014-04-17 16:44:22.553","2007-10-16 10:18:13.000"
140,true,"TUBAL OCCLUSION WITH MICRO-INSERTS","Tubal Occlusion with Micro-Inserts",tubocc,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.553","2007-10-25 17:37:03.000"
141,false,"EMMIMANAGER (TM) TRAINING - NOTEPAD","EmmiManager (TM) Training - Notepad",emmionboard_notes,NULL,1,7,false,true,NULL,1,1,"2014-05-07 15:33:34.810","2008-01-08 17:48:51.197"
142,true,"INHALER - DRY POWDER DISC INHALER (DPI)","Inhaler - Dry Powder Disc Inhaler (DPI)",asthma_dpi,NULL,4,2,false,true,NULL,1,1,"2014-04-17 16:44:22.553","2008-01-31 10:56:24.967"
143,true,"INHALER - METERED DOSE INHALER (MDI)","Inhaler - Metered Dose Inhaler (MDI)",asthma_mdi,NULL,4,3,false,true,NULL,1,1,"2014-09-08 17:15:11.610","2008-01-31 11:05:12.750"
144,true,"ASTHMA AND PETS","Asthma and Pets",asthma_pets,NULL,4,4,false,true,NULL,1,1,"2014-04-17 16:44:22.553","2008-02-05 11:02:06.260"
145,true,"ASTHMA AND STRONG SMELLS","Asthma and Strong Smells",asthma_smells,NULL,4,2,false,true,NULL,1,1,"2014-04-17 16:44:22.553","2008-02-05 11:02:06.260"
148,true,"ASTHMA AND DUST","Asthma and Dust",asthma_dust,NULL,4,4,false,true,NULL,1,1,"2014-04-17 16:44:22.557","2008-02-05 11:02:06.260"
149,true,"ASTHMA AND SMOKE","Asthma and Smoke",asthma_smoke,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.557","2008-02-05 11:02:06.260"
150,true,"CORD BLOOD STORAGE OPTIONS","Cord Blood Storage Options",cord_blood,NULL,6,5,false,true,NULL,1,1,"2015-01-30 14:04:35.793","2008-02-05 16:35:54.040"
151,true,"ASTHMA NEBULIZER (ADULT)","Asthma Nebulizer (Adult)",asthma_nebulizer_adult,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.557","2008-02-28 15:31:32.670"
152,true,"ORGAN TRANSPLANT OVERVIEW","Organ Transplant Overview",transplantoverview,NULL,6,8,false,true,NULL,1,1,"2014-04-17 16:44:22.560","2008-04-28 11:23:14.260"
153,true,"MEDICATION HISTORY - PATIENT","Medication History - Patient",med_hist_patient,NULL,2,3,false,true,NULL,1,1,"2014-04-17 16:44:22.560","2008-03-25 17:20:02.513"
154,true,"MEDICATION HISTORY - PROVIDER","Medication History - Provider",med_hist_provider,NULL,2,4,false,true,NULL,1,1,"2014-04-17 16:44:22.560","2008-03-25 17:26:41.860"
156,true,"HYSTERECTOMY RECOVERY","Hysterectomy Recovery",hysterectomy_recovery,NULL,6,5,false,true,NULL,1,1,"2014-04-17 16:44:22.560","2008-04-01 10:15:01.483"
157,true,"HYSTERECTOMY RECOVERY ESTROGEN THERAPY","Hysterectomy Recovery Estrogen Therapy",estrogen_therapy,NULL,6,5,false,true,NULL,1,1,"2014-04-17 16:44:22.563","2008-04-01 15:02:39.953"
158,true,"ASTHMA NEBULIZER (CHILD)","Asthma Nebulizer (Child)",asthma_nebulizer_ped,NULL,4,3,false,true,NULL,1,1,"2014-04-17 16:44:22.567","2008-04-11 10:46:34.410"
160,true,"DIABETES - CHECKING YOUR BLOOD SUGAR","Diabetes - Checking Your Blood Sugar",diabetes_monitoring,NULL,4,5,false,true,NULL,1,1,"2014-04-17 16:44:22.567","2008-06-11 10:19:55.100"
162,true,"PATIENT SAFETY","Patient Safety",patient_safety,NULL,2,5,false,true,NULL,1,1,"2014-04-17 16:44:22.567","2008-06-17 17:55:13.817"
